backbone,dataset,method,train_seed,gate_status,gate_floor,score,calibration,alpha,rho_cal,rho_test,split_seed,n_eval,worst_group_acc,base_top1,marginal_cov,worst_group,worst_group_cov,mean_group_cov,cov_range,n_cal_worst_group,cov_gap,mean_set_size,worst_group_set_size,set_size_disparity,div_wasserstein1,div_ks_stat,div_ks_pvalue,rho_cal_realized,rho_test_realized
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,1,2622,0.5095986038394416,0.7913806254767353,0.7650648360030511,2,0.49312977099236643,0.765008843790728,0.43065071681251166,66,0.4068702290076336,0.9919908466819222,1.0412213740458016,0.1067701545336065,0.20393450569410104,0.3624879209242579,5.201246104637482e-58,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,2,2622,0.5095986038394416,0.7990083905415714,0.7791762013729977,2,0.516030534351145,0.779118180971886,0.41994507540495263,66,0.38396946564885504,1.0034324942791761,1.033587786259542,0.11890243902439035,0.19754055009672666,0.35540618681527647,1.024084851019705e-55,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,3,2622,0.5095986038394416,0.7887109077040427,0.7768878718535469,2,0.5236641221374045,0.7768281046360083,0.40164075591137594,66,0.3763358778625955,1.0087719298245614,1.0595419847328245,0.11899320424501958,0.18447763404310172,0.3421213379541053,1.3749197485457273e-51,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,4,2622,0.5095986038394416,0.799771167048055,0.7955758962623951,2,0.5755725190839694,0.795530394712344,0.37564699311115246,66,0.3244274809160306,1.0274599542334095,1.082442748091603,0.10835738223794444,0.16893312796532836,0.29529682509498323,2.4245593102397703e-38,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,5,2622,0.5095986038394416,0.7841342486651411,0.7864225781845919,2,0.5541984732824428,0.7863788167938932,0.389399087693167,66,0.34580152671755726,1.0282227307398932,1.1038167938931298,0.1373533792589835,0.17967105494665825,0.3202963399915398,3.8996383612441044e-45,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,6,2622,0.5095986038394416,0.7948131197559115,0.7749809305873379,2,0.5114503816793893,0.7749167985477564,0.43367156954012287,66,0.38854961832061075,1.001906941266209,1.048854961832061,0.09153788866132939,0.1962349647688131,0.3564058879915553,4.849152170072106e-56,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,7,2622,0.5095986038394416,0.7765064836003052,0.7543859649122807,2,0.5129770992366413,0.7543340392850494,0.3986082666170173,66,0.38702290076335877,0.9900839054157132,1.0458015267175573,0.12354542915658173,0.17582293669115848,0.32379607027402524,3.733248217943896e-46,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,8,2622,0.5095986038394416,0.7845156369183829,0.7696414950419527,2,0.5083969465648855,0.7695820145224354,0.43062744367901684,66,0.3916030534351145,1.0080091533180777,1.0534351145038168,0.0961180413330851,0.17378563193939284,0.35584937732121996,7.049021316357335e-56,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.5,9,2622,0.5095986038394416,0.7921434019832189,0.7696414950419527,2,0.5480916030534351,0.7695965602308695,0.3650181530441259,66,0.35190839694656495,1.0030511060259344,1.0519083969465648,0.10831083597095503,0.17955337513082537,0.31215591612755506,7.488142968964584e-43,0.9496567505720824,0.5
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,0,2622,0.5095986038394416,0.9260106788710908,0.8794813119755912,2,0.5303030303030303,0.7571924059875867,0.3966046002190581,66,0.36969696969696975,0.9614797864225781,1.0,0.049799196787148614,0.18268561129604644,0.37138995589699814,1.8170100409513605e-08,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,1,2622,0.5095986038394416,0.9515636918382914,0.8966437833714722,2,0.5606060606060606,0.7913380795910916,0.3663015699160278,66,0.33939393939393947,0.9588100686498856,1.106060606060606,0.16228550565899957,0.23297392200042769,0.3844785887039408,4.631629141920393e-09,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,2,2622,0.5095986038394416,0.9435545385202135,0.8935926773455377,2,0.5151515151515151,0.7717962760131435,0.4246075209930632,66,0.3848484848484849,0.96186117467582,1.0757575757575757,0.12234392113910175,0.16976680116320192,0.40973111395646605,2.8402871654972966e-10,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,3,2622,0.5095986038394416,0.937070938215103,0.8981693363844394,2,0.6060606060606061,0.7957283680175247,0.3304855786783497,66,0.29393939393939394,0.9702517162471396,1.0606060606060606,0.106389193136181,0.133542445887766,0.30697823303457106,7.046543881470758e-06,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,4,2622,0.5095986038394416,0.937070938215103,0.902745995423341,2,0.5909090909090909,0.7909638554216867,0.36089813800657167,66,0.3090909090909091,0.9767353165522502,1.0606060606060606,0.11982475355969324,0.18011226880076914,0.33852610613173995,4.446995037318443e-07,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,5,2622,0.5095986038394416,0.9435545385202135,0.906559877955759,2,0.5909090909090909,0.8144943410003651,0.3552756480467324,66,0.3090909090909091,0.9767353165522502,1.0909090909090908,0.12625045637093824,0.18676916868661628,0.3317683881064163,8.239945188425639e-07,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,6,2622,0.5095986038394416,0.9454614797864226,0.8920671243325705,2,0.5303030303030303,0.78175428988682,0.40784958013873684,66,0.36969696969696975,0.9584286803966438,0.9848484848484849,0.07929901423877328,0.22904827161189487,0.4096599800825153,2.8637840657947375e-10,0.9496567505720824,0.9496567505720824
resnet50_erm,waterbirds,erm,0,kept,0.3,RAPS,marginal_split,0.1,0.95,0.95,7,2622,0.5095986038394416,0.9340198321891686,0.8775743707093822,2,0.5303030303030303,0.7669496166484119,0.3893756845564075,66,0.36969696969696975,0.952326468344775,1.0454545454545454,0.1910916392844103,0.19289874648562153,0.36306729264475746,4.2140075787624114e-08,0.9496567505720824,0.9496567505720824
