dataset,representation,ft_seed,head,backbone,calibration,score,alpha,rho_cal,rho_test,split_seed,n_eval,worst_group_acc,base_top1,marginal_cov,worst_group,worst_group_cov,mean_group_cov,cov_range,cov_gap,n_cal_worst_group,mean_set_size,worst_group_set_size,set_size_disparity,div_wasserstein1,div_ks_stat,div_ks_pvalue,rho_cal_realized,rho_test_realized
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,7,2622,0.49214659685863876,0.9378337147215866,0.8878718535469108,2,0.6212121212121212,0.7974808324205915,0.2960569550930997,0.2787878787878788,66,0.965675057208238,1.0757575757575757,0.24125593282219793,0.18275637751931273,0.36936264048940104,2.2347015484919483e-08,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,8,2622,0.49214659685863876,0.9347826086956522,0.897025171624714,2,0.5,0.7879518072289158,0.4285140562248996,0.4,66,0.9717772692601068,1.0606060606060606,0.12073749543629053,0.20147946174617537,0.42278417982643335,6.183010718099778e-11,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,9,2622,0.49214659685863876,0.9481311975591151,0.8878718535469108,2,0.6363636363636364,0.7723713033953998,0.2688572471705002,0.26363636363636367,66,0.9557589626239512,1.0606060606060606,0.16871120847024457,0.19812150899266645,0.2924313558116375,2.282708594226076e-05,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,0,2622,0.49214659685863876,0.9347826086956522,0.897025171624714,1,0.8787878787878788,0.9099123767798467,0.09090909090909094,0.021212121212121238,66,0.992372234935164,1.5,1.0363636363636364,0.1614312969379884,0.29520557689571775,1.83299005741439e-05,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,1,2622,0.49214659685863876,0.954233409610984,0.9000762776506483,1,0.7727272727272727,0.8684738955823293,0.14052573932092005,0.12727272727272732,66,0.9725400457665904,1.1818181818181819,0.8754289886820007,0.10441300785710966,0.19323516858728126,0.01402828031976644,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,2,2622,0.49214659685863876,0.9427917620137299,0.9012204424103738,0,0.8979919678714859,0.9049470609711574,0.01109894121942312,0.002008032128514081,1245,0.9916094584286804,0.9180722891566265,0.9152610441767067,0.04543693603142752,0.0737590886421503,0.0015170189053139588,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,3,2622,0.49214659685863876,0.9309687261632341,0.88558352402746,3,0.8811244979919679,0.9146495071193866,0.08857247170500182,0.01887550200803212,1245,0.9900839054157132,0.9911646586345382,1.0158086893026654,0.007263466075513043,0.026126291659010772,0.7496570116029478,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,4,2622,0.49214659685863876,0.9431731502669718,0.8947368421052632,3,0.8763052208835341,0.8979463307776561,0.04793720335889007,0.02369477911646589,1245,0.9858886346300534,0.9566265060240964,0.9278933917488134,0.01851436042395808,0.03902319517722305,0.263094520522043,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,5,2622,0.49214659685863876,0.9435545385202135,0.9088482074752098,3,0.9060240963855422,0.9197243519532676,0.03336984300839729,-0.0060240963855421326,1245,0.9916094584286804,0.9791164658634538,1.0108798831690398,0.009270622619432189,0.02676326219912329,0.7229432950627855,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,6,2622,0.49214659685863876,0.9374523264683448,0.8913043478260869,3,0.8875502008032129,0.8997261774370208,0.0366922234392113,0.012449799196787126,1245,0.9778794813119756,0.970281124497992,0.9814895947426069,0.00975830857793655,0.03369644153957879,0.4350668675864764,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,7,2622,0.49214659685863876,0.9378337147215866,0.8848207475209764,2,0.8484848484848485,0.8927254472435195,0.10606060606060608,0.051515151515151514,66,0.9801678108314263,1.7575757575757576,0.8443227455275648,0.18275637751931273,0.36936264048940104,2.2347015484919483e-08,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,8,2622,0.49214659685863876,0.9347826086956522,0.897025171624714,1,0.8636363636363636,0.884802847754655,0.053632712668857274,0.036363636363636376,66,0.9836003051106026,1.196969696969697,0.904709748083242,0.12322127857613835,0.24494949494949494,0.0006944167290592904,0.9496567505720824,0.9496567505720824
