backbone,dataset,method,train_seed,calibration,score,rho_test,split_seed,worst_group_rerun,worst_group_cov_rerun,cov_g0,n_g0,cov_g1,n_g1,cov_g2,n_g2,cov_g3,n_g3,cov_min_recomputed,argmin_recomputed
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,3,1,0.8484848484848485,0.8963855421686747,1245,0.8484848484848485,66,0.8484848484848485,66,0.8923694779116466,1245,0.8484848484848485,1
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,4,3,0.8995983935742972,0.9188755020080321,1245,0.9090909090909091,66,0.9090909090909091,66,0.8995983935742972,1245,0.8995983935742972,3
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,5,3,0.8939759036144578,0.9204819277108434,1245,0.9242424242424242,66,0.9090909090909091,66,0.8939759036144578,1245,0.8939759036144578,3
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,6,2,0.803030303030303,0.8995983935742972,1245,0.8787878787878788,66,0.803030303030303,66,0.8795180722891566,1245,0.803030303030303,2
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,7,2,0.803030303030303,0.9100401606425703,1245,0.9545454545454546,66,0.803030303030303,66,0.9004016064257028,1245,0.803030303030303,2
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,8,2,0.7878787878787878,0.914859437751004,1245,0.9090909090909091,66,0.7878787878787878,66,0.8963855421686747,1245,0.7878787878787878,2
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,9,1,0.8787878787878788,0.8963855421686747,1245,0.8787878787878788,66,0.9393939393939394,66,0.8843373493975903,1245,0.8787878787878788,1
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,0,0,0.8835341365461847,0.8835341365461847,1245,0.9242424242424242,66,0.9393939393939394,66,0.8867469879518072,1245,0.8835341365461847,0
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,1,2,0.8181818181818182,0.8947791164658635,1245,0.9090909090909091,66,0.8181818181818182,66,0.9140562248995984,1245,0.8181818181818182,2
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,2,3,0.8931726907630522,0.9220883534136546,1245,0.9090909090909091,66,0.9393939393939394,66,0.8931726907630522,1245,0.8931726907630522,3
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,3,1,0.8787878787878788,0.8907630522088353,1245,0.8787878787878788,66,0.8787878787878788,66,0.8931726907630522,1245,0.8787878787878788,1
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,4,3,0.8995983935742972,0.9092369477911647,1245,0.9090909090909091,66,0.9848484848484849,66,0.8995983935742972,1245,0.8995983935742972,3
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,5,3,0.8931726907630522,0.9204819277108434,1245,0.9242424242424242,66,0.9242424242424242,66,0.8931726907630522,1245,0.8931726907630522,3
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,6,3,0.8763052208835341,0.9012048192771084,1245,0.8787878787878788,66,0.9090909090909091,66,0.8763052208835341,1245,0.8763052208835341,3
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,7,2,0.8333333333333334,0.9188755020080321,1245,0.9848484848484849,66,0.8333333333333334,66,0.8867469879518072,1245,0.8333333333333334,2
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,8,3,0.885140562248996,0.9220883534136546,1245,0.9090909090909091,66,0.9545454545454546,66,0.885140562248996,1245,0.885140562248996,3
resnet50_erm,waterbirds,dfr,1,mondrian,APS,0.95,9,1,0.8787878787878788,0.8819277108433735,1245,0.8787878787878788,66,1.0,66,0.9156626506024096,1245,0.8787878787878788,1
