backbone,dataset,method,train_seed,condition,score,alpha,rho_cal,rho_test,split_seed,probe_auroc,worst_group_acc,gate_status,gate_floor,worst_group_cov,worst_group_set_size,marg_cov,mean_set_size
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.121212121212121,0.8993135011441648,1.189168573607933
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.9080854309687262,1.1914569031273836
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.893211289092296,1.158276125095347
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8666666666666667,1.1068273092369478,0.8813882532418001,1.1807780320366132
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.891566265060241,1.1100401606425703,0.8951182303585049,1.1823035850495804
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.878714859437751,1.0522088353413654,0.8836765827612509,1.2772692601067888
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8755020080321285,1.0538152610441767,0.8985507246376812,1.1693363844393592
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.4545454545454546,0.9115179252479023,1.1777269260106789
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8779116465863454,1.0481927710843373,0.8985507246376812,1.2753623188405796
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.1666666666666667,0.8954996186117468,1.2009916094584288
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2727272727272727,0.9118993135011442,1.2128146453089246
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.303030303030303,0.9107551487414187,1.3203661327231122
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.121212121212121,0.881769641495042,1.2532418001525554
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.303030303030303,0.902745995423341,1.2665903890160184
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8181818181818182,1.2878787878787878,0.8958810068649885,1.2784134248665142
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7878787878787878,1.2727272727272727,0.9004576659038902,1.0122044241037376
